m	rsm_pmax	k_approval	ith_poset	cardinality	cover_width	num_states	item	threads	time_s	error
10	0.9	1	3	9	5	325	8	1	0.006403207778930664	none
10	0.9	2	3	9	5	446	8	1	0.006782054901123047	none
10	0.9	5	3	9	5	614	8	1	0.009282827377319336	none
10	0.9	10	3	9	5	621	8	1	0.007981061935424805	none
15	0.1	1	3	7	2	50	3	1	0.0034449100494384766	none
15	0.1	2	3	7	2	95	3	1	0.003860950469970703	none
15	0.1	5	3	7	2	227	3	1	0.004724025726318359	none
15	0.1	10	3	7	2	331	3	1	0.006290912628173828	none
15	0.5	1	3	14	8	55165	13	1	0.60909104347229	none
15	0.5	2	3	14	8	55243	13	1	0.6152617931365967	none
15	0.5	5	3	14	8	55469	13	1	0.6234350204467773	none
15	0.5	10	3	14	8	55669	13	1	0.6236379146575928	none
15	0.9	1	3	15	8	214	7	1	0.008458852767944336	none
15	0.9	2	3	15	8	349	7	1	0.009904146194458008	none
15	0.9	5	3	15	8	349	7	1	0.009593725204467773	none
15	0.9	10	3	15	8	349	7	1	0.009595155715942383	none
20	0.1	1	3	14	5	33529	12	1	0.6042041778564453	none
20	0.1	2	3	14	5	49751	12	1	0.9645717144012451	none
20	0.1	5	3	14	5	98417	12	1	2.0150210857391357	none
20	0.1	10	3	14	5	179527	12	1	3.7948451042175293	none
20	0.5	1	3	18	10	45837	16	1	0.7324221134185791	none
20	0.5	2	3	18	10	50564	16	1	0.7969682216644287	none
20	0.5	5	3	18	10	64745	16	1	0.9758269786834717	none
20	0.5	10	3	18	10	83401	16	1	1.2441391944885254	none
20	0.9	1	3	20	10	124108	14	1	1.6137909889221191	none
20	0.9	2	3	20	10	212430	14	1	2.748811960220337	none
20	0.9	5	3	20	10	477396	14	1	6.115322113037109	none
20	0.9	10	3	20	10	850188	14	1	10.493031978607178	none
10	0.1	1	4	5	2	145	9	1	0.002585172653198242	none
10	0.1	2	4	5	2	146	9	1	0.002722024917602539	none
10	0.1	5	4	5	2	149	9	1	0.002833843231201172	none
10	0.1	10	4	5	2	153	9	1	0.003120899200439453	none
10	0.5	1	4	8	3	113	9	1	0.003712892532348633	none
10	0.5	2	4	8	3	114	9	1	0.0029549598693847656	none
10	0.5	5	4	8	3	117	9	1	0.003180980682373047	none
10	0.5	10	4	8	3	119	9	1	0.0029659271240234375	none
10	0.9	1	4	9	5	92	0	1	0.0027010440826416016	none
10	0.9	2	4	9	5	183	0	1	0.0032939910888671875	none
10	0.9	5	4	9	5	378	0	1	0.005745887756347656	none
10	0.9	10	4	9	5	385	0	1	0.006582975387573242	none
15	0.1	1	4	12	6	92742	14	1	1.5106456279754639	none
15	0.1	2	4	12	6	92743	14	1	1.516869068145752	none
15	0.1	5	4	12	6	92746	14	1	1.4876461029052734	none
15	0.1	10	4	12	6	92751	14	1	1.4982407093048096	none
15	0.5	1	4	15	7	12935	1	1	0.2147529125213623	none
15	0.5	2	4	15	7	23812	1	1	0.37941694259643555	none
15	0.5	5	4	15	7	43989	1	1	0.7011580467224121	none
15	0.5	10	4	15	7	48547	1	1	0.7413136959075928	none
15	0.9	1	4	15	6	537	4	1	0.015265941619873047	none
15	0.9	2	4	15	6	1069	4	1	0.025009870529174805	none
15	0.9	5	4	15	6	1914	4	1	0.03774070739746094	none
15	0.9	10	4	15	6	1914	4	1	0.036589860916137695	none
20	0.1	1	4	13	4	31217	14	1	0.4365849494934082	none
20	0.1	2	4	13	4	36080	14	1	0.5446250438690186	none
20	0.1	5	4	13	4	48539	14	1	0.8883540630340576	none
20	0.1	10	4	13	4	62204	14	1	1.2279269695281982	none
20	0.5	1	4	20	10	103181	14	1	1.412447214126587	none
20	0.5	2	4	20	10	179586	14	1	2.50097918510437	none
20	0.5	5	4	20	10	408801	14	1	5.754385948181152	none
20	0.5	10	4	20	10	699952	14	1	10.102967023849487	none
20	0.9	1	4	20	10	67736	12	1	0.8052108287811279	none
20	0.9	2	4	20	10	67736	12	1	0.7869460582733154	none
20	0.9	5	4	20	10	67736	12	1	0.8034770488739014	none
20	0.9	10	4	20	10	67736	12	1	0.8111329078674316	none
