m	rsm_pmax	k_approval	ith_poset	cardinality	cover_width	num_states	item	threads	time_s	error
10	0.1	1	0	6	2	92	7	1	0.0023920536041259766	none
10	0.1	2	0	6	2	101	7	1	0.0021402835845947266	none
10	0.1	5	0	6	2	128	7	1	0.0028858184814453125	none
10	0.1	10	0	6	2	148	7	1	0.0034356117248535156	none
10	0.5	1	0	10	5	182	7	1	0.0035321712493896484	none
10	0.5	2	0	10	5	259	7	1	0.003793001174926758	none
10	0.5	5	0	10	5	470	7	1	0.005652189254760742	none
10	0.5	10	0	10	5	508	7	1	0.005600929260253906	none
10	0.9	1	0	10	5	17	0	1	0.0028150081634521484	none
10	0.9	2	0	10	5	17	0	1	0.003194093704223633	none
10	0.9	5	0	10	5	17	0	1	0.003031015396118164	none
10	0.9	10	0	10	5	17	0	1	0.002910137176513672	none
15	0.1	1	0	6	2	32	7	1	0.002054929733276367	none
15	0.1	2	0	6	2	48	7	1	0.0019021034240722656	none
15	0.1	5	0	6	2	96	7	1	0.002351999282836914	none
15	0.1	10	0	6	2	173	7	1	0.0033750534057617188	none
15	0.5	1	0	14	7	2749	2	1	0.0475001335144043	none
15	0.5	2	0	14	7	5453	2	1	0.108306884765625	none
15	0.5	5	0	14	7	10245	2	1	0.15698003768920898	none
15	0.5	10	0	14	7	10753	2	1	0.16307806968688965	none
15	0.9	1	0	15	9	1473	8	1	0.018950223922729492	none
15	0.9	2	0	15	9	2453	8	1	0.028584957122802734	none
15	0.9	5	0	15	9	3107	8	1	0.033173322677612305	none
15	0.9	10	0	15	9	3107	8	1	0.03192281723022461	none
20	0.1	1	0	11	6	30622	3	1	0.5639469623565674	none
20	0.1	2	0	11	6	61025	3	1	1.157121181488037	none
20	0.1	5	0	11	6	137904	3	1	2.709212064743042	none
20	0.1	10	0	11	6	204468	3	1	4.285999298095703	none
20	0.5	1	0	19	10	96610	8	1	1.6207871437072754	none
20	0.5	2	0	19	10	188020	8	1	3.361037015914917	none
20	0.5	5	0	19	10	228526	8	1	3.685960292816162	none
20	0.5	10	0	19	10	228526	8	1	4.121636867523193	none
20	0.9	1	0	20	11	3052	10	1	0.06205630302429199	none
20	0.9	2	0	20	11	6081	10	1	0.09912705421447754	none
20	0.9	5	0	20	11	6888	10	1	0.10992717742919922	none
20	0.9	10	0	20	11	6888	10	1	0.10959100723266602	none
10	0.1	1	1	6	2	87	7	1	0.0018999576568603516	none
10	0.1	2	1	6	2	94	7	1	0.002032041549682617	none
10	0.1	5	1	6	2	114	7	1	0.0024251937866210938	none
10	0.1	10	1	6	2	129	7	1	0.002371072769165039	none
10	0.5	1	1	10	6	179	5	1	0.0037059783935546875	none
10	0.5	2	1	10	6	284	5	1	0.005339860916137695	none
10	0.5	5	1	10	6	404	5	1	0.006961822509765625	none
10	0.5	10	1	10	6	413	5	1	0.007158994674682617	none
10	0.9	1	1	9	6	270	1	1	0.004467964172363281	none
10	0.9	2	1	9	6	323	1	1	0.004559040069580078	none
10	0.9	5	1	9	6	323	1	1	0.004571676254272461	none
10	0.9	10	1	9	6	323	1	1	0.004842042922973633	none
15	0.1	1	1	5	1	73	13	1	0.0018868446350097656	none
15	0.1	2	1	5	1	75	13	1	0.0019860267639160156	none
15	0.1	5	1	5	1	81	13	1	0.0018711090087890625	none
15	0.1	10	1	5	1	91	13	1	0.0020029544830322266	none
15	0.5	1	1	13	8	1623300	13	1	33.486408948898315	none
15	0.5	2	1	13	8	1624348	13	1	32.97153997421265	none
15	0.5	5	1	13	8	1627492	13	1	33.004185914993286	none
15	0.5	10	1	13	8	1632732	13	1	32.69951581954956	none
15	0.9	1	1	15	7	168	4	1	0.009594917297363281	none
15	0.9	2	1	15	7	281	4	1	0.010625123977661133	none
15	0.9	5	1	15	7	350	4	1	0.011033296585083008	none
15	0.9	10	1	15	7	350	4	1	0.01080775260925293	none
20	0.1	1	1	11	5	45688	8	1	1.0134809017181396	none
20	0.1	2	1	11	5	91244	8	1	2.078922986984253	none
20	0.1	5	1	11	5	227912	8	1	5.118973970413208	none
20	0.1	10	1	11	5	455374	8	1	9.783160924911499	none
20	0.5	1	1	19	10	178510	13	1	2.043682813644409	none
20	0.5	2	1	19	10	352835	13	1	4.0750041007995605	none
20	0.5	5	1	19	10	768186	13	1	9.137072086334229	none
20	0.5	10	1	19	10	822573	13	1	9.714164972305298	none
20	0.9	1	1	20	9	4592	17	1	0.062046051025390625	none
20	0.9	2	1	20	9	4637	17	1	0.05711102485656738	none
20	0.9	5	1	20	9	4637	17	1	0.05761122703552246	none
20	0.9	10	1	20	9	4637	17	1	0.057375192642211914	none
10	0.1	1	2	5	3	61	0	1	0.0015921592712402344	none
10	0.1	2	2	5	3	121	0	1	0.0020589828491210938	none
10	0.1	5	2	5	3	277	0	1	0.0035691261291503906	none
10	0.1	10	2	5	3	306	0	1	0.0037512779235839844	none
10	0.5	1	2	9	4	215	8	1	0.003414154052734375	none
10	0.5	2	2	9	4	272	8	1	0.0040171146392822266	none
10	0.5	5	2	9	4	363	8	1	0.005133152008056641	none
10	0.5	10	2	9	4	363	8	1	0.0053157806396484375	none
10	0.9	1	2	10	5	57	3	1	0.0031669139862060547	none
10	0.9	2	2	10	5	57	3	1	0.003341197967529297	none
10	0.9	5	2	10	5	57	3	1	0.0029778480529785156	none
10	0.9	10	2	10	5	57	3	1	0.0035190582275390625	none
15	0.1	1	2	5	3	55	6	1	0.0021543502807617188	none
15	0.1	2	2	5	3	78	6	1	0.002254962921142578	none
15	0.1	5	2	5	3	147	6	1	0.0029048919677734375	none
15	0.1	10	2	5	3	214	6	1	0.003299236297607422	none
15	0.5	1	2	13	7	6134	5	1	0.10853886604309082	none
15	0.5	2	2	13	7	12223	5	1	0.19916582107543945	none
15	0.5	5	2	13	7	20636	5	1	0.3186507225036621	none
15	0.5	10	2	13	7	20888	5	1	0.31781697273254395	none
15	0.9	1	2	15	6	511	2	1	0.013370990753173828	none
15	0.9	2	2	15	6	1020	2	1	0.017892122268676758	none
15	0.9	5	2	15	6	2003	2	1	0.03004908561706543	none
15	0.9	10	2	15	6	2003	2	1	0.028900861740112305	none
20	0.1	1	2	15	6	114122	12	1	1.7552051544189453	none
20	0.1	2	2	15	6	136519	12	1	2.2235288619995117	none
20	0.1	5	2	15	6	203710	12	1	3.5741021633148193	none
20	0.1	10	2	15	6	314338	12	1	5.932537794113159	none
20	0.5	1	2	20	10	3171705	16	1	40.52184295654297	none
20	0.5	2	2	20	10	3176789	16	1	41.617915868759155	none
20	0.5	5	2	20	10	3191165	16	1	44.84515714645386	none
20	0.5	10	2	20	10	3196231	16	1	45.936522006988525	none
20	0.9	1	2	20	12	3839143	1	1	93.45145010948181	none
20	0.9	2	2	20	12	4955950	1	1	118.40267872810364	none
20	0.9	5	2	20	12	4955950	1	1	118.05995917320251	none
20	0.9	10	2	20	12	4955950	1	1	119.6958110332489	none
10	0.1	1	3	5	2	33	5	1	0.0012409687042236328	none
10	0.1	2	3	5	2	53	5	1	0.0014560222625732422	none
10	0.1	5	3	5	2	113	5	1	0.0025827884674072266	none
10	0.1	10	3	5	2	153	5	1	0.002760171890258789	none
10	0.5	1	3	8	4	101	6	1	0.003206968307495117	none
10	0.5	2	3	8	4	170	6	1	0.003841876983642578	none
10	0.5	5	3	8	4	277	6	1	0.004899024963378906	none
10	0.5	10	3	8	4	278	6	1	0.0049550533294677734	none
