# Calculate poset profiles, with 
#     1) basic voter pruning by upper lower bounds;
#     2) sequential exact solver.
# Python 3.10.2 on uname_result(system='Darwin', node='HP-MBP-15.local', release='21.3.0', version='Darwin Kernel Version 21.3.0: Wed Jan  5 21:37:58 PST 2022; root:xnu-8019.80.24~20/RELEASE_X86_64', machine='x86_64')
k_approval	num_candidates	num_voters	phi	rsm_pmax	batch	winners	winner_score	t_baseline_sec	winners_vp	pruned_voters	t_vp_sec	winners_cp	pruned_candidates	t_cp_sec
1	8	1000	0.5	0.2	2	(0,)	195.620616087604	5.777081727981567	(0,)	29	2.4123740196228027	(0,)	0	2.5737648010253906
2	8	1000	0.5	0.2	2	(0,)	632.5	4.33274507522583	(0,)	16	3.3376171588897705	(0,)	0	3.5694828033447266
3	8	1000	0.5	0.2	2	(2,)	704.875	4.652627944946289	(2,)	6	4.307512044906616	(2,)	0	4.397836208343506
4	8	1000	0.5	0.2	2	(2,)	767.5	4.9829261302948	(2,)	1	4.8185930252075195	(2,)	0	4.805365800857544
1	10	1000	0.1	0.2	0	(0,)	200.18516025696567	35.54194903373718	(0,)	37	14.588551044464111	(0,)	0	16.05352807044983
2	10	1000	0.1	0.2	0	(2,)	661.6000000000017	17.541405200958252	(2,)	10	11.534464597702026	(2,)	1	11.686471939086914
3	10	1000	0.1	0.2	0	(2,)	720.3999999999968	20.02927589416504	(2,)	2	16.725779056549072	(2,)	0	17.722667932510376
4	10	1000	0.1	0.2	0	(3,)	764.199999999995	23.110817909240723	(3,)	0	21.359747886657715	(3,)	0	22.040458917617798
1	10	1000	0.5	0.2	3	(0,)	174.5961458806535	32.71023106575012	(0,)	28	13.816514015197754	(0,)	0	14.472411870956421
2	10	1000	0.5	0.2	3	(0,)	651.6000000000018	16.56900405883789	(0,)	34	11.221321821212769	(0,)	0	12.199395179748535
3	10	1000	0.5	0.2	3	(0,)	702.8999999999974	19.401197910308838	(0,)	4	16.733093976974487	(0,)	0	17.20610809326172
4	10	1000	0.5	0.2	3	(6,)	767.9999999999948	22.241441011428833	(6,)	19	20.532379865646362	(6,)	0	21.090954065322876
1	5	1000	0.5	0.2	0	(0,)	279.95472222222037	1.1182518005371094	(0,)	68	0.5272178649902344	(0,)	0	0.5518839359283447
2	5	1000	0.5	0.2	0	(0,)	704.7999999999937	1.0909178256988525	(0,)	15	0.9961271286010742	(0,)	0	1.0012128353118896
