# Calculate poset profiles, with 
#     1) basic voter pruning by upper lower bounds;
#     2) sequential exact solver.
# Python 3.10.2 on uname_result(system='Darwin', node='HP-MBP-15.local', release='21.3.0', version='Darwin Kernel Version 21.3.0: Wed Jan  5 21:37:58 PST 2022; root:xnu-8019.80.24~20/RELEASE_X86_64', machine='x86_64')
k_approval	num_candidates	num_voters	batch	co-winners	winner_score	t_baseline_sec	co-winners_pruning	score_upper	score_lower	computed_voters	t_quick_bounds_sec	t_total_s
1	9	1000	0	(1,)	120.65935853259118	12.53170895576477	(1,)	125.88158075480399	119.88158075481338	993	0.06331396102905273	5.427242040634155
2	9	1000	0	(1,)	578.2222222222217	7.8760881423950195	(1,)	583.6666666666456	570.6666666666665	987	0.08573389053344727	6.326196908950806
3	9	1000	0	(1,)	687.3333333333354	8.887072086334229	(1,)	689.3333333333493	685.3333333333353	996	0.08803820610046387	8.25170111656189
4	9	1000	0	(1,)	758.4444444444489	9.820559024810791	(1,)	759.0000000000053	757.0000000000044	998	0.06259560585021973	9.46053671836853
1	9	1000	1	(0,)	115.52319184174478	13.234709978103638	(0,)	116.85652517506904	114.8565251750781	998	0.06441783905029297	5.772279977798462
2	9	1000	1	(2,)	563.1111111111111	8.374706745147705	(2,)	563.8888888888691	561.8888888888889	998	0.06448507308959961	6.622642755508423
3	9	1000	1	(2,)	695.666666666668	9.308849811553955	(2,)	700.3333333333479	686.3333333333343	983	0.06437301635742188	8.521162986755371
4	9	1000	1	(2,)	767.2222222222262	10.367905616760254	(2,)	769.4444444444493	761.4444444444483	992	0.08875131607055664	9.994593143463135
1	9	1000	2	(5,)	115.19657874809081	12.943533897399902	(5,)	116.08546763697099	115.0854676369797	998	0.06459498405456543	5.741667032241821
2	9	1000	2	(4,)	566.3333333333333	8.189382791519165	(4,)	566.333333333313	563.3333333333333	997	0.08814001083374023	6.64344596862793
3	9	1000	2	(4,)	691.000000000002	9.268397808074951	(4,)	691.6666666666819	686.6666666666686	994	0.06401419639587402	8.465270042419434
4	9	1000	2	(5,)	767.7777777777819	10.139256000518799	(5,)	768.8888888888939	764.8888888888931	996	0.06540298461914062	9.87657117843628
1	9	1000	3	(0,)	115.15281830382123	12.58083200454712	(0,)	116.04170719270033	115.04170719271012	999	0.08742213249206543	5.337445020675659
2	9	1000	3	(0,)	570.2222222222215	7.909128904342651	(0,)	571.7777777777565	567.7777777777771	996	0.0631859302520752	6.360414981842041
3	9	1000	3	(8,)	692.3333333333347	8.91753602027893	(8,)	694.3333333333486	690.3333333333346	996	0.06311392784118652	8.250802993774414
4	9	1000	3	(8,)	768.4444444444488	9.876081228256226	(8,)	771.2222222222273	760.2222222222265	989	0.08739304542541504	9.503718852996826
1	9	1000	4	(4,)	114.90794209662997	12.744284391403198	(4,)	114.90794209661951	114.90794209662997	1000	0.06836199760437012	5.539371967315674
2	9	1000	4	(1,)	559.8888888888889	7.794188976287842	(1,)	559.8888888888673	559.8888888888889	1000	0.09532022476196289	6.401097297668457
3	9	1000	4	(5,)	679.6666666666684	8.845635890960693	(5,)	679.6666666666832	679.6666666666686	1000	0.06413507461547852	8.277018070220947
4	9	1000	4	(1,)	753.7777777777821	9.736104011535645	(1,)	754.3333333333387	753.3333333333377	999	0.0675048828125	9.481359004974365
1	7	1000	0	(2,)	153.29677482477717	3.3339147567749023	(2,)	160.0824891104934	152.08248911049148	991	0.051665306091308594	1.521623134613037
2	7	1000	0	(3,)	597.4285714285726	2.828375816345215	(3,)	598.8571428571641	596.8571428571439	998	0.04896998405456543	2.412209987640381
3	7	1000	0	(3,)	725.1428571428611	3.0172669887542725	(3,)	726.2857142857214	723.2857142857181	997	0.0492398738861084	2.894011974334717
4	7	1000	0	(3,)	806.8571428571387	3.157876968383789	(3,)	809.4285714285644	801.4285714285674	992	0.04898405075073242	2.9749398231506348
1	7	1000	1	(2,)	147.03850190953838	3.290438175201416	(2,)	147.03850190954054	147.03850190953838	1000	0.048306941986083984	1.5436530113220215
2	7	1000	1	(1,)	593.1428571428571	2.808943033218384	(1,)	596.0000000000229	586.9999999999998	991	0.04846906661987305	2.4017131328582764
3	7	1000	1	(2,)	716.285714285719	2.9946582317352295	(2,)	717.4285714285791	715.428571428576	998	0.04849600791931152	2.8946549892425537
4	7	1000	1	(2,)	795.7142857142809	3.1201109886169434	(2,)	796.5714285714209	794.5714285714236	998	0.0794980525970459	3.010962963104248
1	7	1000	2	(5,)	148.37426216597123	3.1743991374969482	(5,)	149.2314050231147	148.2314050231141	999	0.048532962799072266	1.4889411926269531
2	7	1000	2	(6,)	591.4285714285724	2.7418212890625	(6,)	592.1428571428792	590.142857142858	998	0.0807962417602539	2.4399449825286865
3	7	1000	2	(6,)	720.1428571428609	2.8721389770507812	(6,)	724.7142857142929	711.7142857142893	986	0.04860186576843262	2.7746007442474365
4	7	1000	2	(6,)	803.8571428571387	3.0256130695343018	(6,)	806.8571428571356	793.8571428571388	987	0.08060407638549805	2.9196043014526367
1	7	1000	3	(0,)	145.18162696179866	3.3274459838867188	(0,)	145.18162696179985	145.18162696179866	1000	0.049054861068725586	1.5432319641113281
2	7	1000	3	(4,)	615.8571428571449	2.860837936401367	(4,)	620.1428571428792	603.1428571428589	983	0.08483695983886719	2.475619077682495
3	7	1000	3	(4,)	728.2857142857187	2.9997291564941406	(4,)	730.571428571436	719.571428571433	988	0.0492091178894043	2.851465940475464
4	7	1000	3	(4,)	799.714285714281	3.157696008682251	(4,)	799.7142857142783	797.7142857142809	998	0.05193901062011719	3.030395984649658
1	7	1000	4	(2,)	150.8495314469545	3.206174850463867	(2,)	155.0638171612418	150.06381716124022	995	0.048085927963256836	1.4822440147399902
2	7	1000	4	(3,)	591.5714285714287	2.7474000453948975	(3,)	594.4285714285942	587.4285714285713	991	0.048551321029663086	2.3409430980682373
3	7	1000	4	(6,)	718.0000000000036	2.883931875228882	(6,)	719.7142857142932	713.7142857142893	994	0.04829716682434082	2.753242015838623
4	7	1000	4	(6,)	800.9999999999959	3.043365716934204	(6,)	801.8571428571354	796.8571428571388	995	0.04857993125915527	2.8938770294189453
1	8	1000	0	(5,)	131.20504125964405	6.365403175354004	(5,)	132.95504125964413	130.95504125964405	998	0.05673694610595703	2.762770891189575
2	8	1000	0	(3,)	580.75	4.696130990982056	(3,)	582.25	578.25	994	0.08728814125061035	3.9035720825195312
3	8	1000	0	(3,)	710.625	5.0951409339904785	(3,)	712.5	701.5	989	0.0564572811126709	4.770355224609375
4	8	1000	0	(3,)	784.5	5.514778137207031	(3,)	787.0	774.0	986	0.05609488487243652	5.277466058731079
1	8	1000	1	(6,)	130.35545318690947	6.013211965560913	(6,)	131.2304531869097	130.23045318690947	997	0.05493521690368652	2.649531126022339
2	8	1000	1	(2,)	576.5	4.59876012802124	(2,)	578.0	574.0	995	0.05588722229003906	3.9095571041107178
3	8	1000	1	(3,)	695.75	5.004608869552612	(3,)	695.75	695.75	1000	0.055089712142944336	4.786606073379517
4	8	1000	1	(3,)	771.0	5.313094139099121	(3,)	771.0	771.0	1000	0.08997607231140137	5.226016044616699
1	8	1000	2	(7,)	136.62714108781233	6.511216878890991	(7,)	139.5938077544794	135.593807754479	990	0.09280610084533691	2.7886531352996826
2	8	1000	2	(0,)	580.25	4.861584901809692	(0,)	581.75	577.75	996	0.08722805976867676	4.068657159805298
3	8	1000	2	(1,)	711.625	5.309432029724121	(1,)	712.875	708.875	996	0.05684614181518555	4.927130222320557
4	8	1000	2	(1,)	784.5	5.699886798858643	(1,)	786.5	779.5	993	0.056236982345581055	5.472163915634155
1	8	1000	3	(0,)	129.17304281151482	6.151872873306274	(0,)	130.7980428115147	128.79804281151482	998	0.05667304992675781	2.7407381534576416
2	8	1000	3	(3,)	586.0	4.706127643585205	(3,)	589.75	580.75	991	0.056340932846069336	3.8144800662994385
3	8	1000	3	(3,)	708.0	5.097233295440674	(3,)	712.375	699.375	987	0.05701708793640137	4.803086996078491
4	8	1000	3	(3,)	788.0	5.570887804031372	(3,)	790.5	782.5	992	0.09336519241333008	5.317883253097534
1	8	1000	4	(0,)	129.55273306900855	6.199322700500488	(0,)	132.1777330690086	129.17773306900855	996	0.09196805953979492	2.8018240928649902
